"loss","learning_rate","epoch","perplexity","steps","samples"
1.476,5e-05,0.1,4.375408994949263,6050,48400
1.4357,5e-05,0.11,4.202585789447224,6100,48800
1.4142,5e-05,0.11,4.113194593724947,6150,49200
1.3592,5e-05,0.11,3.893077593603226,6200,49600
1.3888,5e-05,0.11,4.010035122466717,6250,50000
1.3724,5e-05,0.11,3.944806880022096,6300,50400
1.3781,5e-05,0.11,3.967356484558129,6350,50800
1.43,5e-05,0.11,4.178699191923246,6400,51200
1.391,5e-05,0.11,4.018866911141532,6450,51600
1.3879,5e-05,0.11,4.006427714433611,6500,52000
1.3609,5e-05,0.11,3.8997014541986115,6550,52400
1.3947,5e-05,0.11,4.033764261816113,6600,52800
1.3476,5e-05,0.11,3.8481788099266514,6650,53200
1.3811,5e-05,0.12,3.9792764249824852,6700,53600
1.3385,5e-05,0.12,3.8133192343848235,6750,54000
1.4032,5e-05,0.12,4.068197391526935,6800,54400
1.3337,5e-05,0.12,3.79505916129452,6850,54800
1.4003,5e-05,0.12,4.056416709336976,6900,55200
1.3752,5e-05,0.12,3.9558678173719692,6950,55600
1.3458,5e-05,0.12,3.8412583183797087,7000,56000
1.3733,5e-05,0.12,3.948358804340304,7050,56400
1.3372,5e-05,0.12,3.808365140239019,7100,56800
1.3077,5e-05,0.12,3.697659307990401,7150,57200
1.3206,5e-05,0.12,3.7456681040378506,7200,57600
1.3929,5e-05,0.13,4.0265100169238925,7250,58000
1.3509,5e-05,0.13,3.8608987764007243,7300,58400
1.3424,5e-05,0.13,3.8282202174288686,7350,58800
1.3128,5e-05,0.13,3.71656554037449,7400,59200
1.3086,5e-05,0.13,3.7009886993689785,7450,59600
1.2503,5e-05,0.13,3.4913902174302205,7500,60000
1.3439,5e-05,0.13,3.8339668566569385,7550,60400
1.3046,5e-05,0.13,3.6862143130433305,7600,60800
1.3858,5e-05,0.13,3.9980230442257354,7650,61200
1.3184,5e-05,0.13,3.737436692082121,7700,61600
1.3028,5e-05,0.13,3.679585095365651,7750,62000
1.3109,5e-05,0.13,3.7095107700019425,7800,62400
1.347,5e-05,0.14,3.8458705951743677,7850,62800
1.2781,5e-05,0.14,3.589812597915798,7900,63200
1.3273,5e-05,0.14,3.7708483399301476,7950,63600
1.3365,5e-05,0.14,3.805700217472638,8000,64000
1.3605,5e-05,0.14,3.898141885551456,8050,64400
1.3034,5e-05,0.14,3.681793508880672,8100,64800
1.2466,5e-05,0.14,3.478495942744113,8150,65200
1.2933,5e-05,0.14,3.644794553686127,8200,65600
1.2909,5e-05,0.14,3.6360575353730242,8250,66000
1.2706,5e-05,0.14,3.562989714974605,8300,66400
1.3079,5e-05,0.14,3.6983989138101157,8350,66800
1.2909,5e-05,0.15,3.6360575353730242,8400,67200
1.298,5e-05,0.15,3.661965407987391,8450,67600
1.3212,5e-05,0.15,3.747916179255396,8500,68000
1.3147,5e-05,0.15,3.723633727552675,8550,68400
1.3157,5e-05,0.15,3.7273592237178526,8600,68800
1.285,5e-05,0.15,3.614667957217448,8650,69200
1.2659,5e-05,0.15,3.546282954954621,8700,69600
1.2828,5e-05,0.15,3.606724428796722,8750,70000
1.3466,5e-05,0.15,3.844332554564927,8800,70400
1.3153,5e-05,0.15,3.7258685781773484,8850,70800
1.3307,5e-05,0.15,3.783691044511896,8900,71200
1.2813,5e-05,0.15,3.6013183976904877,8950,71600
1.3007,5e-05,0.16,3.6718660744740594,9000,72000
1.2585,5e-05,0.16,3.520137319251201,9050,72400
1.2913,5e-05,0.16,3.6375122493105647,9100,72800
1.2673,5e-05,0.16,3.5512512280712545,9150,73200
1.2222,5e-05,0.16,3.3946477496440535,9200,73600
1.2278,5e-05,0.16,3.41371110461711,9250,74000
1.2698,5e-05,0.16,3.5601404630553533,9300,74400
