"loss","learning_rate","epoch","perplexity","steps","samples","model"
1.5323,5e-05,0.88,4.628810853439045,12800,409600,"GPT2-Medium"
1.5343,5e-05,0.89,4.6380777389424654,12850,411200,"GPT2-Medium"
1.5106,5e-05,0.89,4.5294476477653705,12900,412800,"GPT2-Medium"
1.4983,5e-05,0.9,4.474076671290999,12950,414400,"GPT2-Medium"
1.5189,5e-05,0.9,4.567198512609752,13000,416000,"GPT2-Medium"
1.5525,5e-05,0.9,4.723263593668665,13050,417600,"GPT2-Medium"
1.5112,5e-05,0.91,4.532166131817691,13100,419200,"GPT2-Medium"
1.5215,5e-05,0.91,4.579088679261059,13150,420800,"GPT2-Medium"
1.5004,5e-05,0.91,4.483482104549135,13200,422400,"GPT2-Medium"
1.505,5e-05,0.92,4.504153630288483,13250,424000,"GPT2-Medium"
1.5248,5e-05,0.92,4.5942246324895715,13300,425600,"GPT2-Medium"
1.4812,5e-05,0.92,4.398220379922297,13350,427200,"GPT2-Medium"
1.5537,5e-05,0.93,4.728934912091563,13400,428800,"GPT2-Medium"
1.5208,5e-05,0.93,4.575884438800577,13450,430400,"GPT2-Medium"
1.4901,5e-05,0.93,4.437539250741782,13500,432000,"GPT2-Medium"
1.5365,5e-05,0.94,4.648292742351838,13550,433600,"GPT2-Medium"
1.4834,5e-05,0.94,4.407907116261116,13600,435200,"GPT2-Medium"
1.5178,5e-05,0.94,4.562177356388104,13650,436800,"GPT2-Medium"
1.4796,5e-05,0.95,4.391188854035191,13700,438400,"GPT2-Medium"
1.4938,5e-05,0.95,4.4539885584228225,13750,440000,"GPT2-Medium"
1.5057,5e-05,0.95,4.507307641604858,13800,441600,"GPT2-Medium"
1.4957,5e-05,0.96,4.462459181227245,13850,443200,"GPT2-Medium"
1.5431,5e-05,0.96,4.67907293736287,13900,444800,"GPT2-Medium"
1.5106,5e-05,0.96,4.5294476477653705,13950,446400,"GPT2-Medium"
1.4987,5e-05,0.97,4.475866659933377,14000,448000,"GPT2-Medium"
1.4957,5e-05,0.97,4.462459181227245,14050,449600,"GPT2-Medium"
1.4793,5e-05,0.97,4.38987169496272,14100,451200,"GPT2-Medium"
1.5054,5e-05,0.98,4.50595565212094,14150,452800,"GPT2-Medium"
1.4967,5e-05,0.98,4.466923872381991,14200,454400,"GPT2-Medium"
1.4846,5e-05,0.98,4.413199779763611,14250,456000,"GPT2-Medium"
1.5123,5e-05,0.99,4.537154257528862,14300,457600,"GPT2-Medium"
1.5036,5e-05,0.99,4.497852227217459,14350,459200,"GPT2-Medium"
1.4745,5e-05,1.0,4.368850801331712,14400,460800,"GPT2-Medium"
1.4908,5e-05,1.0,4.4406466156681415,14450,462400,"GPT2-Medium"
